"on_index","sb_index","days","monkeys","drugs","mean_total_index","kmeans_clusters","state"
0.631578947368421,-0.324324324324324,"day__04192016","kuro","saline",0.153627311522048,2,"high"
0.583333333333333,-0.246753246753247,"day__05122016","kuro","saline",0.168290043290043,2,"high"
0.538461538461538,0.0952380952380952,"day__05272017","kuro","saline",0.316849816849817,2,"high"
0.245901639344262,0.0232558139534884,"day__05292017","kuro","saline",0.134578726648875,2,"high"
0.484848484848485,0.0126582278481013,"day__05302017","kuro","oxytocin",0.248753356348293,2,"high"
0.492957746478873,0.075,"day__06012017","kuro","oxytocin",0.283978873239437,2,"high"
0.492957746478873,0.0617283950617284,"day__06022017","kuro","saline",0.277343070770301,2,"high"
0.470588235294118,0.0769230769230769,"day__06032017","kuro","oxytocin",0.273755656108597,2,"high"
0.358974358974359,0.0133333333333333,"day__06052017","kuro","oxytocin",0.186153846153846,2,"high"
0.333333333333333,0.0632911392405063,"day__06082017","kuro","oxytocin",0.19831223628692,2,"high"
0.393939393939394,-0.05,"day__06092017","kuro","saline",0.171969696969697,2,"high"
0.303030303030303,0.0126582278481013,"day__01052017","hitch","oxytocin",0.157844265439202,2,"high"
0.333333333333333,-0.0120481927710843,"day__01082017","hitch","saline",0.160642570281124,2,"high"
0.380281690140845,-0.0126582278481013,"day__01102017","hitch","saline",0.183811731146372,2,"high"
0.298507462686567,0.0683229813664596,"day__01142017","hitch","saline",0.183415222026513,2,"high"
0.292307692307692,0.0532544378698225,"day__01152017","hitch","oxytocin",0.172781065088757,2,"high"
0.394957983193277,-0.00584795321637427,"day__01162017","hitch","saline",0.194555014988452,2,"high"
0.573033707865168,0.0294117647058824,"day__01172017","hitch","oxytocin",0.301222736285525,2,"high"
0.435114503816794,0.0787878787878788,"day__01262017","hitch","saline",0.256951191302336,2,"high"
0.307692307692308,0.111111111111111,"day__01272017","hitch","saline",0.209401709401709,2,"high"
0.352941176470588,0.0440251572327044,"day__01282017","hitch","oxytocin",0.198483166851646,2,"high"
0.333333333333333,0.0588235294117647,"day__02132017","hitch","oxytocin",0.196078431372549,2,"high"
0.442857142857143,0.0188679245283019,"day__02152017","hitch","oxytocin",0.230862533692722,2,"high"
0.424460431654676,-0.0759493670886076,"day__02172017","hitch","oxytocin",0.174255532283034,2,"high"
